People #,Other Group,Group 1,Group 2,Group 3,Group 4,Group 5,Group 6,Group 7,Group 8,Group 9,Group 10,Group 11,Group 12,Group 13,Group 14,Group 15,Group 16,Group 17,Group 18,Group 19,Group 20,Group 21,Group 22,Group 23,Group24,Group 25,Group 26,Group 27,Group 28,Group 29,Group 30,Group 31,Group 32,Group 33,Group 34,Group 35,Group 36,Group 37,Group 38,Group 39,Group 40,Group 41,Group 42,Group 43,Group 44,Group 45,Group 46,Group 47
13,Group 1,53,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,Group 2,0,666,37,0,9,20,0,0,3,0,8,0,0,0,0,0,0,3,10,18,20,1,1,3,4,0,0,0,11,0,2,10,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0
41,Group 3,0,37,537,0,3,16,0,0,1,0,3,0,0,0,0,0,0,0,10,5,17,4,0,1,1,0,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Group 4,0,0,0,336,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,5
14,Group 5,0,9,3,1,248,10,0,1,2,0,7,0,0,0,0,0,0,2,7,6,17,5,0,35,1,0,0,0,3,0,0,43,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
66,Group 6,0,20,16,0,10,222,0,0,9,0,11,0,0,0,0,0,0,24,8,15,9,2,2,14,5,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Group 7,7,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
35,Group 8,0,0,0,0,1,0,0,340,51,0,5,2,1,3,0,2,2,0,2,0,9,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
33,Group 9,0,3,1,0,2,9,0,51,493,0,22,0,0,0,0,0,2,0,1,0,7,0,3,7,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10,Group 10,0,0,0,0,0,0,0,0,0,256,0,1,19,1,2,1,0,0,0,0,1,0,0,0,0,0,6,18,12,16,0,0,0,0,1,3,4,1,0,0,0,0,0,2,0,0,0
63,Group 11,0,8,3,0,7,11,0,5,22,0,313,0,0,0,0,0,0,0,7,1,9,1,3,4,0,0,0,1,1,0,0,3,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0
30,Group 12,0,0,0,0,0,0,0,2,0,1,0,237,6,10,15,58,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,2,1,0,0,0,0
28,Group 13,0,0,0,0,0,0,0,1,0,19,0,6,279,16,4,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0
